"timestamp";"correlationId";"message"
"30.05.2020 13:46:15,935";"A96C07D81DAA2A529B9C6E45C933D27B";"search ASPSPs"
"30.05.2020 13:46:15,999";"A96C07D81DAA2A529B9C6E45C933D27B";"Processing AspspFoundEvent: AspspFoundEvent{data=AspspTO{id='53c47f54-b9a4-465a-8f77-bc6cd5f0cf46', name='adorsys xs2a', bic='ADORSYS', bankCode='99999999', url='https://amos-modelbank-xs2a.cloud.adorsys.de', adapterId='adorsys-integ-adapter', idpUrl='null', scaApproaches=null, paginationId='0:1.0'}, approach=UNKNOWN, step=ASPSP_LOOKUP}"
"30.05.2020 13:46:16,060";"A96C07D81DAA2A529B9C6E45C933D27B";"--> POST https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: A96C07D81DAA2A529B9C6E45C933D27B\\n	--> Accept: application/json\\n	--> TPP-Nok-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/nok-redirect\\n	--> X-Request-ID: ecd9e03f-6619-47b0-b682-39ed5cd9962f\\n	--> TPP-Redirect-Preferred: false\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""access"":{""accounts"":[],""balances"":[],""transactions"":[],""additionalInformation"":{""ownerName"":[]},""availableAccounts"":""******"",""availableAccountsWithBalance"":""******"",""allPsd2"":""******""},""recurringIndicator"":true,""validUntil"":""2020-05-31"",""frequencyPerDay"":4,""combinedServiceIndicator"":false}\\n	-->"
"30.05.2020 13:46:16,513";"A96C07D81DAA2A529B9C6E45C933D27B";"create consent response status - 200"
"30.05.2020 13:46:16,514";"A96C07D81DAA2A529B9C6E45C933D27B";"Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"30.05.2020 13:46:16,515";"A96C07D81DAA2A529B9C6E45C933D27B";"update consent PSU data (PSU password stage)"
"30.05.2020 13:46:31,295";"A96C07D81DAA2A529B9C6E45C933D27B";"--> PUT https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******/authorisations/******?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: A96C07D81DAA2A529B9C6E45C933D27B\\n	--> Accept: application/json\\n	--> X-Request-ID: f7ac22f9-9e9a-439c-88b0-2b4db0756a7f\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""psuData"":{""password"":""******""}}\\n	-->"
"30.05.2020 13:46:32,035";"A96C07D81DAA2A529B9C6E45C933D27B";"update consent PSU data (PSU password stage) response status - 200"
"30.05.2020 13:46:34,426";"A96C07D81DAA2A529B9C6E45C933D27B";"--> PUT https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******/authorisations/******?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: A96C07D81DAA2A529B9C6E45C933D27B\\n	--> Accept: application/json\\n	--> X-Request-ID: 1d25422d-fc9a-451f-8bf6-77b6433973d6\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""authenticationMethodId"":""******""}\\n	-->"
"30.05.2020 13:46:34,623";"A96C07D81DAA2A529B9C6E45C933D27B";"update consent PSU data (selectPsuAuthenticationMethod) response status - 200"
