"timestamp","source","message"
"2020-05-21T13:25:19.357Z","xs2a-adapter-7-jtfdh","{""tppMessages"":[{""category"":""ERROR"",""code"":""PSU_CREDENTIALS_INVALID"",""text"":""The PSU-ID cannot be matched by the addressed ASPSP or is blocked, or a password resp. OTP was not correct""}]}"
"2020-05-19T10:00:31.554Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:31.948Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","show transactions page"
"2020-05-19T10:00:19.815Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-21T13:25:19.379Z","amos-modelbank-xs2a-adapter-ui-service-55fdcd89b-pmpkp","Processing Error: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T10:00:31.555Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:32.748Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:19.821Z","xs2a-adapter-7-jtfdh","--> POST https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: 82D29F9C656D5433D52A5C649FE66268\\n	--> Accept: application/json\\n	--> TPP-Nok-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/nok-redirect\\n	--> X-Request-ID: 6b8f007b-02be-4e02-9f0a-145734297531\\n	--> TPP-Redirect-Preferred: false\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""access"":{""accounts"":[{""iban"":""******"",""currency"":""******""}],""balances"":[{""iban"":""******"",""currency"":""******""}],""transactions"":[{""iban"":""******"",""currency"":""******""}]},""recurringIndicator"":true,""validUntil"":""2020-05-20"",""frequencyPerDay"":4,""combinedServiceIndicator"":false}\\n	-->"
"2020-05-19T10:00:19.645Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","search ASPSPs"
"2020-05-19T10:00:31.589Z","xs2a-adapter-7-jtfdh","--> PUT https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******/authorisations/******?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: 82D29F9C656D5433D52A5C649FE66268\\n	--> Accept: application/json\\n	--> X-Request-ID: ec5b2fd4-46ec-473c-bc66-ece8cca45f24\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""scaAuthenticationData"":""******""}\\n	-->"
"2020-05-19T10:00:32.874Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-21T13:25:07.895Z","amos-modelbank-xs2a-adapter-ui-service-55fdcd89b-pmpkp","search ASPSPs response status - 200"
"2020-05-19T10:00:19.684Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by bank code [99999999}"
"2020-05-19T10:00:32.070Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","get account list"
"2020-05-19T10:00:32.907Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-21T13:25:07.924Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:19.733Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing AspspFoundEvent: AspspFoundEvent{data=AspspTO{id='53c47f54-b9a4-465a-8f77-bc6cd5f0cf46', name='adorsys xs2a', bic='ADORSYS', bankCode='99999999', url='https://amos-modelbank-xs2a.cloud.adorsys.de', adapterId='adorsys-integ-adapter', idpUrl='null', scaApproaches=null, paginationId='0:1.0'}, approach=UNKNOWN, step=ASPSP_LOOKUP}"
"2020-05-19T10:00:32.073Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:33.029Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-21T13:25:07.961Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:19.778Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:32.105Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:33.063Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:27.262Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:31.907Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (PSU otp stage) response status - 200"
"2020-05-19T10:00:32.139Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:33.064Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:27.469Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing OtpRequiredEvent: BaseEvent{data=******, approach=EMBEDDED, step=SEND_OTP}"
"2020-05-19T10:00:32.106Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:27.185Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (selectPsuAuthenticationMethod)"
"2020-05-19T10:00:33.096Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T09:55:24.219Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (PSU otp stage) response status - 200"
"2020-05-19T10:00:24.864Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:27.191Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:20.196Z","xs2a-adapter-7-jtfdh","<-- HTTP/1.1 201 \\n	<-- aspsp-sca-approach: EMBEDDED\\n	<-- x-request-id: 6b8f007b-02be-4e02-9f0a-145734297531\\n	<-- date: Tue, 19 May 2020 10:00:20 GMT\\n	<-- content-length: 1100\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- location: https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******\\n	<-- content-type: application/json\\n	<-- aspsp-notification-support: false\\n	<--\\n	<-- Response body [application/json]: {""consentStatus"":""******"",""consentId"":""******"",""_links"":{""updatePsuAuthentication"":{""href"":""******""},""self"":{""href"":""******""},""status"":{""href"":""******""},""scaStatus"":{""href"":""******""}}}\\n	<--"
"2020-05-19T09:55:25.011Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing TransactionsReceivedEvent: BaseEvent{data=******, approach=UNKNOWN, step=GET_TRANSACTIONS}"
"2020-05-19T10:00:24.933Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:27.464Z","xs2a-adapter-7-jtfdh","<-- HTTP/1.1 200 \\n	<-- aspsp-sca-approach: EMBEDDED\\n	<-- x-request-id: 76e5c724-b7e6-4043-8006-474143c06065\\n	<-- date: Tue, 19 May 2020 10:00:27 GMT\\n	<-- content-length: 847\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<-- content-type: application/json\\n	<--\\n	<-- Response body [application/json]: {""scaStatus"":""******"",""chosenScaMethod"":{""authenticationType"":""******"",""authenticationMethodId"":""******"",""name"":""******""},""challengeData"":{""data"":[""******""],""otpMaxLength"":""******"",""otpFormat"":""******"",""additionalInformation"":""******""},""_links"":{""scaStatus"":{""href"":""******""},""authoriseTransaction"":{""href"":""******""}}}\\n	<--"
"2020-05-19T10:00:20.198Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","create consent response status - 200"
"2020-05-19T09:55:25.168Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Consent status is valid"
"2020-05-19T09:55:12.077Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing AspspFoundEvent: AspspFoundEvent{data=AspspTO{id='53c47f54-b9a4-465a-8f77-bc6cd5f0cf46', name='adorsys xs2a', bic='ADORSYS', bankCode='99999999', url='https://amos-modelbank-xs2a.cloud.adorsys.de', adapterId='adorsys-integ-adapter', idpUrl='null', scaApproaches=null, paginationId='0:1.0'}, approach=UNKNOWN, step=ASPSP_LOOKUP}"
"2020-05-19T10:00:27.469Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T10:00:19.644Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","create a new session: 82D29F9C656D5433D52A5C649FE66268"
"2020-05-19T09:55:25.323Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","SCA status is finalised"
"2020-05-19T10:00:25.619Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (PSU password stage) response status - 200"
"2020-05-19T10:00:24.935Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:19.732Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","search ASPSPs response status - 200"
"2020-05-19T09:55:12.665Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","create consent response status - 200"
"2020-05-19T10:00:25.620Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T10:00:25.021Z","xs2a-adapter-7-jtfdh","--> PUT https://amos-modelbank-xs2a.cloud.adorsys.de/v1/consents/******/authorisations/******?limit=10&balanceTypes=interimBooked HTTP/1.1\\n	--> Correlation-ID: 82D29F9C656D5433D52A5C649FE66268\\n	--> Accept: application/json\\n	--> X-Request-ID: a1d14615-edca-457e-a12b-5d732abc61ca\\n	--> X-GTW-ASPSP-ID: 53c47f54-b9a4-465a-8f77-bc6cd5f0cf46\\n	--> PSU-ID: ******\\n	--> PSU-IP-Address: 0.0.0.0\\n	--> TPP-Redirect-URI: https://amos-modelbank-xs2a-adapter-ui-service.cloud.adorsys.de/redirect\\n	-->\\n	--> Request body [application/json; charset=UTF-8]: {""psuData"":{""password"":""******""}}\\n	-->"
"2020-05-19T10:00:19.777Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T09:55:12.666Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T09:55:24.393Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","get account list"
"2020-05-19T10:00:19.729Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T10:00:33.245Z","xs2a-adapter-7-jtfdh","<-- HTTP/1.1 204 \\n	<-- x-request-id: 463124ea-59c2-4dc3-a189-868899188c9a\\n	<-- date: Tue, 19 May 2020 10:00:33 GMT\\n	<-- vary: Access-Control-Request-Headers\\n	<-- x-robots-tag: none\\n	<--\\n	<-- Response body []: ******\\n	<--"
"2020-05-19T10:00:20.199Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing ConsentAuthorisedEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T09:55:24.705Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","get account list response status - 200"
"2020-05-19T10:00:19.743Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: by ID [53c47f54-b9a4-465a-8f77-bc6cd5f0cf46]"
"2020-05-19T10:00:25.014Z","xs2a-adapter-7-jtfdh","Searching for ASPSPs: 1 record(s) have been found"
"2020-05-19T09:55:16.948Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (PSU password stage) response status - 200"
"2020-05-19T09:55:24.706Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","get transaction list"
"2020-05-19T09:55:18.717Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (selectPsuAuthenticationMethod)"
"2020-05-19T09:55:24.266Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","show transactions page"
"2020-05-19T09:55:19.007Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing OtpRequiredEvent: BaseEvent{data=******, approach=EMBEDDED, step=SEND_OTP}"
"2020-05-19T10:00:27.467Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (selectPsuAuthenticationMethod) response status - 200"
"2020-05-19T09:55:19.007Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T09:55:24.705Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing AccountFoundEvent: BaseEvent{data=******, approach=UNKNOWN, step=GET_ACCOUNTS}"
"2020-05-19T10:00:24.858Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","update consent PSU data (PSU password stage)"
"2020-05-19T10:00:20.199Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}"
"2020-05-19T10:00:20.198Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","Processing ConsentCreatedEvent: BaseEvent{data=******, approach=UNKNOWN, step=CREATE_CONSENT}"
"2020-05-19T09:55:25.010Z","amos-modelbank-xs2a-adapter-ui-service-dc6549f74-lg5wf","get transaction list response status - 200"
"2020-05-19T16:14:02.530Z","amos-modelbank-xs2a-adapter-ui-service-55fdcd89b-pmpkp","The following profiles are active: amos"
