timestamp,correlationId,message,approach,consent
2020-05-19T09:55:11.994Z,30C70B5A2DD1BD861CBF626DFA873904,create a new session: 30C70B5A2DD1BD861CBF626DFA873904,embedded,not available
2020-05-19T09:55:11.995Z,30C70B5A2DD1BD861CBF626DFA873904,search ASPSPs,embedded,not available
2020-05-19T09:55:12.076Z,30C70B5A2DD1BD861CBF626DFA873904,search ASPSPs response status - 200,embedded,not available
2020-05-19T09:55:12.077Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing AspspFoundEvent: AspspFoundEvent{data=AspspTO{id='53c47f54-b9a4-465a-8f77-bc6cd5f0cf46', name='adorsys xs2a', bic='ADORSYS', bankCode='99999999', url='https://amos-modelbank-xs2a.cloud.adorsys.de', adapterId='adorsys-integ-adapter', idpUrl='null', scaApproaches=null, paginationId='0:1.0'}, approach=UNKNOWN, step=ASPSP_LOOKUP}",embedded,not available
2020-05-19T09:55:12.665Z,30C70B5A2DD1BD861CBF626DFA873904,create consent response status - 200,embedded,not available
2020-05-19T09:55:12.665Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing ConsentCreatedEvent: BaseEvent{data=******, approach=UNKNOWN, step=CREATE_CONSENT}",embedded,not available
2020-05-19T09:55:12.666Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}",embedded,not available
2020-05-19T09:55:12.666Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing ConsentAuthorisedEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}",embedded,not available
2020-05-19T09:55:16.324Z,30C70B5A2DD1BD861CBF626DFA873904,update consent PSU data (PSU password stage),embedded,not available
2020-05-19T09:55:16.948Z,30C70B5A2DD1BD861CBF626DFA873904,update consent PSU data (PSU password stage) response status - 200,embedded,not available
2020-05-19T09:55:16.949Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing SelectSCAMethodEvent: BaseEvent{data=******, approach=EMBEDDED, step=SELECT_SCA}",embedded,not available
2020-05-19T09:55:16.949Z,30C70B5A2DD1BD861CBF626DFA873904,"Processing QueryParametersEvent: BaseEvent{data=******, approach=EMBEDDED, step=AUTHENTICATE_PSU}",embedded,not available
2020-05-19T09:55:18.717Z,30C70B5A2DD1BD861CBF626DFA873904,update consent PSU data (selectPsuAuthenticationMethod),embedded,not available
2020-05-19T09:55:19.006Z,30C70B5A2DD1BD861CBF626DFA873904,update consent PSU data (selectPsuAuthenticationMethod) response status - 200,embedded,not available
